stage,subject,config_id,variant_id,aq_model,sigma_min,sigma_max,gamma,q_p10,q_p90,dur_s,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,oculo_valid_frac,oculo_r_dot_x,oculo_r_dot_y,oculo_prec_x,oculo_prec_y,oculo_j30,baseline_valid_frac,baseline_r_dot_x,baseline_r_dot_y,baseline_prec_x,baseline_j30,baseline_raw_jump_ge3_frac,baseline_raw_step_p999_px,baseline_raw_speed_p999_px_s,baseline_raw_speed_p999_arcmin_s,baseline_oculo_r_dot_x,baseline_oculo_prec_x,baseline_oculo_j30,gate_r_dot_x,gate_valid_frac,gate_prec_x,gate_j30,pass_hard_gates,raw_jump_reduction,raw_speed_p999_reduction,oculo_j30_reduction,score,delta_valid_frac,delta_r_dot_x,delta_prec_x,delta_j30,slew_gate,slew_max_deg_s,slew_gate_cost,slew_gate_saccade_p,hypothesis_velocity_cost,hypothesis_velocity_sigma_deg_s,hypothesis_acceleration_cost,hypothesis_acceleration_sigma_deg_s2,motion_prior,motion_prior_sigma_rows,motion_prior_tau_ms,motion_prior_ncc_thr
full,Igor,constant,constant_sg50,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_constant_sg50.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,1011616.0,0.6382283396071237,0.8090650918044431,0.8203513114690909,0.657518635081093,0.30346199945535424,13.947154087709812,9.99232928767121,3.288305766838907,2.2414317834347997,1.3058007211555545,0.0956101804696529,68.91536225155113,1005776.0878505167,478940.9942145317,0.6382283396071237,0.8103011335544382,0.8213130267469052,2.4196301343376505,1.7184409952660853,0.954022208736891,0.6500905481921994,0.801747839161782,0.8242390641177197,3.1908473458973807,1.255625615073754,0.14032891420078658,80.54434027018704,1175493.6607566944,559758.8860746163,0.8024939003446598,2.4497961953181986,0.8552881695503523,True,True,True,False,False,0.3186708454620325,0.14437982829862844,-0.11543950062871312,-9.565809201396517,-0.011862208585075695,0.007317252642661032,0.09745842094152612,0.050175106081800536,True,50.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
full,Igor,constant,constant_sg75,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_constant_sg75.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,1011616.0,0.6382283396071237,0.8090543029153967,0.8203409193502904,0.6575863397817767,0.3034638748633287,13.947506538002827,9.992589772865403,3.2890035113351055,2.241778953359483,1.3160171461089032,0.09416870928002642,69.07921649076641,1008167.4367502602,480079.7317858382,0.6382283396071237,0.8102859254400305,0.8212434889153405,2.414335506829337,1.7170891763573854,0.9459973668828852,0.6500905481921994,0.801747839161782,0.8242390641177197,3.1908473458973807,1.255625615073754,0.14032891420078658,80.54434027018704,1175493.6607566944,559758.8860746163,0.8024939003446598,2.4497961953181986,0.8552881695503523,True,True,True,False,False,0.32894293512962575,0.1423454924450398,-0.10605688300379643,-9.555225793176284,-0.011862208585075695,0.007306463753614656,0.09815616543772476,0.06039153103514927,True,75.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
full,Igor,constant,constant_sg125,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_constant_sg125.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,1011616.0,0.6382283396071237,0.8090172158496812,0.8203151464359121,0.6581641200520405,0.3035171636472194,13.948717990599835,9.993235744131876,3.2798325749889474,2.241679216488255,1.2979787192617884,0.0919557017488157,68.28455339153908,996569.8318478488,474557.0627846899,0.6382283396071237,0.8101841929482783,0.8211890726031704,2.413179382453065,1.7170641716031416,0.9315728361113287,0.6500905481921994,0.801747839161782,0.8242390641177197,3.1908473458973807,1.255625615073754,0.14032891420078658,80.54434027018704,1175493.6607566944,559758.8860746163,0.8024939003446598,2.4497961953181986,0.8552881695503523,True,True,True,True,True,0.34471308160167985,0.15221164935391301,-0.08919177100401296,0.47462678820458964,-0.011862208585075695,0.007269376687899176,0.0889852290915667,0.04235310418803451,True,125.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
full,Igor,constant,constant_sg150,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_constant_sg150.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,1011616.0,0.6382283396071237,0.8090538280343191,0.8203210149555706,0.6580700236051524,0.3035126588231765,13.947522051055314,9.993088661252372,3.2741801700169795,2.2416594610257192,1.321533493379917,0.09104128830693811,68.29102783396412,996664.3222366465,474602.0582079269,0.6382283396071237,0.8102657969703208,0.8212052225637559,2.4160196994189196,1.7177116548726972,0.9160316042230376,0.6500905481921994,0.801747839161782,0.8242390641177197,3.1908473458973807,1.255625615073754,0.14032891420078658,80.54434027018704,1175493.6607566944,559758.8860746163,0.8024939003446598,2.4497961953181986,0.8552881695503523,True,True,True,False,False,0.3512292970736333,0.152131265773846,-0.07102101588125535,-9.514394691122835,-0.011862208585075695,0.007305988872537084,0.08333282411959875,0.06590787830616307,True,150.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
full,Pavel,constant,constant_sg50,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics_aq_constant_sg50.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics.npz,14607.191564147628,1008384.0,0.8869151037699924,0.9679104903713843,0.9003021383228669,0.5791504557710735,0.39229122412963147,5.569911823901232,10.355981013945437,2.7574604495534865,3.514506431279067,1.1686646679823056,0.07693821061657466,60.392269969391556,882161.4564366225,420076.88401743927,0.8869151037699924,0.9683312541577116,0.9009450991810825,2.0316363033514797,2.8820530637515867,0.8562440038014216,0.8988302075399848,0.9677969558607584,0.8999685214368665,2.584685174933659,1.046096364302699,0.10971860143722738,71.31534706035444,1041716.9359742698,496055.6837972713,0.9681631399589735,1.9744001381229157,0.7566282003876275,True,True,False,False,False,0.2987678514969694,0.15316586879565547,-0.13165753452324416,-9.580980663338186,-0.011915103769992386,0.00011353451062590114,0.17277527461982745,0.12256830367960658,True,50.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
full,Pavel,constant,constant_sg75,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics_aq_constant_sg75.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics.npz,14607.191564147628,1008384.0,0.8869151037699924,0.9676466198100918,0.9003015206149074,0.579759006037133,0.39226537428399316,5.592390533015001,10.356011412535274,2.7341518947702013,3.514412703646888,1.1816899623872388,0.07584989685469362,60.2917654760869,880693.3680498638,419377.7943094589,0.8869151037699924,0.9680562762614607,0.9009433840295795,2.010145387320284,2.8817369586856714,0.8394161323398848,0.8988302075399848,0.9677969558607584,0.8999685214368665,2.584685174933659,1.046096364302699,0.10971860143722738,71.31534706035444,1041716.9359742698,496055.6837972713,0.9681631399589735,1.9744001381229157,0.7566282003876275,True,True,False,False,False,0.3086869877931396,0.15457516563634247,-0.10941692618626203,-9.564092078117083,-0.011915103769992386,-0.0001503360506666107,0.14946671983654225,0.13559359808453975,True,75.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
full,Pavel,constant,constant_sg125,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics_aq_constant_sg125.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics.npz,14607.191564147628,1008384.0,0.8869151037699924,0.9677080529285933,0.9003016389637859,0.5795858184194989,0.3922707593535336,5.587165767811863,10.356005588369182,2.716889808455441,3.513795915571288,1.1875591267921592,0.07418160397206093,59.62711390590669,870984.67524083,414754.60725753807,0.8869151037699924,0.9681188774488022,0.9009440665730862,1.9975852929547613,2.8815284171164057,0.8288677725774996,0.8988302075399848,0.9677969558607584,0.8999685214368665,2.584685174933659,1.046096364302699,0.10971860143722738,71.31534706035444,1041716.9359742698,496055.6837972713,0.9681631399589735,1.9744001381229157,0.7566282003876275,True,True,False,False,False,0.3238921841844476,0.16389506096851705,-0.09547565389825956,-9.5360816683216,-0.011915103769992386,-8.890293216512468e-05,0.1322046335217819,0.14146276248946021,True,125.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
full,Pavel,constant,constant_sg150,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics_aq_constant_sg150.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics.npz,14607.191564147628,1008384.0,0.8869151037699924,0.967732679109375,0.9002999000040861,0.5797386209092947,0.39230652141804767,5.5850698942916335,10.356091165369367,2.7136714318556323,3.5139664009059133,1.1906286828619077,0.07348449181319669,59.476482567364066,868784.3744231738,413706.8449634161,0.8869151037699924,0.96815508448722,0.900939908564898,2.0016418580126762,2.8820032450647917,0.8282423227006568,0.8988302075399848,0.9677969558607584,0.8999685214368665,2.584685174933659,1.046096364302699,0.10971860143722738,71.31534706035444,1041716.9359742698,496055.6837972713,0.9681631399589735,1.9744001381229157,0.7566282003876275,True,True,False,False,False,0.33024582112232886,0.16600724782242315,-0.09464902613508294,-9.527409187589019,-0.011915103769992386,-6.42767513834297e-05,0.1289862569219733,0.14453231855920867,True,150.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,False,,,
